# nro,promedio_std1,promedio_std2,promedio_std3,promedio_std4
1.000000000000000000e+00, 8.180141655295255498e-01, 2.337712262344290526e+00, 1.109544140672926993e+01, 6.844912343707098223e+00
2.000000000000000000e+00, 4.042190743153047805e+01, 1.141382790977537987e+01, 3.419517227255660430e+01, 1.725842313783456916e+01
3.000000000000000000e+00, 6.564502360596401687e+00, 6.426076933176439354e+00, 1.893347963227890318e+01, 9.731411466270793653e+01
4.000000000000000000e+00, 1.035649371590408663e+01, 9.749235002987191478e+00, 6.956054703975403264e+00, 3.484545743776287452e+01
5.000000000000000000e+00, 7.978071537978042027e-01, 1.103593524689931993e+00, 2.539452505305223706e+00, 9.858197340872477454e+00
6.000000000000000000e+00, 1.812825088932146445e+00, 2.991866128091361787e+01, 5.836267954425757409e+00, 1.596168518027962691e+01
7.000000000000000000e+00, 1.013564835139593967e+01, 2.768891413257488665e+01, 2.831692460552898183e+01, 1.213301686235683974e+02
8.000000000000000000e+00, 7.262830660757439105e+00, 1.098941748357784221e+01, 1.071424120865974849e+01, 2.689293006392511032e+01
9.000000000000000000e+00, 6.801472429489095362e+00, 2.127306120379433807e+01, 2.402722916777474182e+01, 1.588454715137322815e+01
